bins	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy
Bin_76	4192468	133	38662	40.553165970330554	56.33802816901409	26.760563380281692
Bin_77	1089195	21	90488	40.83090292806813	0.0	0.0
Bin_78	1614159	49	33844	48.06169874679273	0.0	0.0
Bin_79	6429834	166	80965	41.62765135970072	78.87323943661971	38.028169014084504
Bin_80	5605281	657	25155	54.25554554844202	66.19718309859155	39.436619718309856
Bin_81	4394249	153	42354	52.91850042900757	85.91549295774648	12.67605633802817
Bin_82_1	1140669	1	1140669	51.952647488586564	94.36619718309859	2.816901408450704
Bin_82_2	911553	1	911553	41.75001777190667	87.32394366197182	8.450704225352112
Bin_83	7859	4	2131	29.600819275475764	0.0	0.0
Bin_84	41534	1	41534	45.22559830500313	0.0	0.0
Bin_85	3242507	19	445530	47.52217904871022	59.15492957746479	8.450704225352112
Bin_86	5308681	292	34379	44.72514776775304	25.35211267605634	19.718309859154928
Bin_87	581748	43	25367	44.3524697790527	0.0	0.0
Bin_88	41609	5	31473	40.47226272576106	0.0	0.0
Bin_89	23324	2	12631	53.8455743741991	0.0	0.0
Bin_8_1	3957409	4	3411376	43.44227432890547	97.1830985915493	7.042253521126761
Bin_8_2	2672987	40	85813	48.77897900010979	85.91549295774648	12.67605633802817
Bin_9	2770725	81	43816	43.60022856539088	33.80281690140845	8.450704225352112
Bin_90_3	685213	7	617975	27.998797657958384	85.91549295774648	1.408450704225352
Bin_90_4	686603	1	686603	29.07194737910575	87.32394366197182	2.816901408450704
Bin_91	5457	1	5457	38.53765805387576	0.0	0.0
Bin_92_1	3974108	23	249170	50.81199137475581	95.77464788732394	9.859154929577464
Bin_93	372466	15	38210	48.83799770930352	0.0	0.0
Bin_94	4765000	151	47740	50.803530194311556	80.28169014084507	25.35211267605634
Bin_95	502598	13	38858	36.16133204480853	0.0	0.0
Bin_96	368633	13	48944	28.336720110437486	0.0	0.0
Bin_97	326619	15	31361	35.73138059410648	0.0	0.0
Bin_98	848682	30	56589	31.158256272326813	0.0	0.0
Bin_99	8967543	586	32895	28.715900698677622	90.14084507042253	39.436619718309856
