bins	taxon	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy
Bin_121	Unknown	1196	1	1196	47.575250836120404	0.0	0.0
Bin_122	Unknown	516531	240	2222	44.727561989883	0.0	0.0
Bin_123	Unknown	108578	3	83838	48.91974035150376	0.0	0.0
Bin_124	Unknown	6974122	132	77463	45.79399178343	91.54929577464789	69.01408450704226
Bin_125	Unknown	129908203	919	363261	51.01483343257711	100.0	3721.1267605633802
Bin_126	Unknown	2276753	28	142271	52.485794454320114	0.0	0.0
Bin_127	Unknown	2716	1	2716	36.89248895434463	0.0	0.0
Bin_128	Unknown	300549	56	10839	42.02039514678742	0.0	0.0
Bin_129	Unknown	9364199	119	116361	49.24273923431038	97.1830985915493	177.46478873239437
Bin_13	Unknown	2936729	45	180250	32.34244528569891	63.38028169014085	12.67605633802817
Bin_130	Unknown	3044766	40	129323	34.05058422754853	0.0	0.0
Bin_131	Unknown	5203497	15	3179178	49.38217822583716	100.0	91.54929577464789
Bin_132	Unknown	4058953	86	283047	29.284458198635775	95.77464788732394	112.67605633802818
Bin_133	Unknown	1966	1	1966	46.94811800610376	0.0	0.0
Bin_134	Unknown	1792866	10	228406	45.40957417334645	50.70422535211268	1.408450704225352
Bin_14	Unknown	584310	4	334875	61.96092017097315	0.0	0.0
Bin_15	Unknown	714302	11	73943	41.09265776054929	38.028169014084504	18.309859154929576
Bin_16	Unknown	27909	8	4207	26.790588996415394	0.0	0.0
Bin_17	Unknown	2234819	33	144678	44.360072802950576	49.29577464788732	15.492957746478874
Bin_18	Unknown	4775187	64	120952	57.102148144252126	66.19718309859155	63.38028169014085
Bin_19	Unknown	3257186	29	456948	31.249418472661457	95.77464788732394	74.64788732394366
Bin_2	Unknown	13433	1	13433	45.819995533387925	0.0	0.0
Bin_20	Unknown	12661412	164	120719	45.76229831506368	95.77464788732394	397.1830985915493
Bin_21	Unknown	1604708	7	411933	61.79769116090128	59.15492957746479	7.042253521126761
Bin_22	Unknown	2837081	25	158381	36.588591950160996	84.50704225352112	23.943661971830984
Bin_23	Unknown	147234	3	68592	44.206963493180936	0.0	0.0
Bin_24	Unknown	1571303	27	121131	35.31565658871414	56.33802816901409	5.633802816901408
Bin_25	Unknown	2181861	63	45628	47.59877632153432	28.169014084507044	5.633802816901408
Bin_26	Unknown	14125842	239	82666	56.11378169706743	98.59154929577464	209.85915492957747
Bin_27	Unknown	58078	1	58078	48.280800811881264	0.0	0.0
Bin_28	Unknown	40940	1	40940	49.80649953006677	0.0	0.0
Bin_29	Unknown	27411963	650	92764	51.4195140974867	100.0	488.7323943661972
Bin_3	Unknown	1972364	33	73661	44.803311992689636	0.0	0.0
Bin_30	Unknown	951109	24	679126	25.489278632156697	87.32394366197182	0.0
Bin_31	Unknown	2254594	38	83422	43.47601419060629	78.87323943661971	12.67605633802817
Bin_32	Unknown	411154	16	62700	34.77598637809694	0.0	0.0
Bin_33	Unknown	100141	4	54010	51.10400135100156	0.0	0.0
Bin_34	Unknown	21258976	244	138306	44.59833906477961	100.0	408.4507042253521
Bin_35	Unknown	10737	1	10737	52.798733351960514	0.0	0.0
Bin_36	Unknown	501075	10	81998	46.58075131963235	0.0	0.0
Bin_37	Unknown	11874430	46	1340089	47.50928677298488	100.0	219.71830985915494
Bin_38	Unknown	1203	1	1203	49.21030756442228	0.0	0.0
Bin_39	Unknown	2014979	14	322577	57.53751628838955	77.46478873239437	18.309859154929576
Bin_4	Unknown	2562654	22	144106	39.10769382530374	64.78873239436619	14.084507042253522
Bin_40	Unknown	3573221	36	324368	51.6743894112069	92.95774647887323	9.859154929577464
Bin_41	Unknown	14369	2	7554	46.12963041741428	0.0	0.0
Bin_42	Unknown	3434902	32	172039	42.39276551106321	88.73239436619718	14.084507042253522
Bin_43	Unknown	117993	4	41753	37.778120563225656	0.0	0.0
Bin_44	Unknown	39583	9	6961	45.78466578825516	0.0	0.0
Bin_45	Unknown	17168705	127	430639	53.51319003057502	100.0	419.71830985915494
Bin_46	Unknown	44933	4	12763	45.62969193786854	0.0	0.0
Bin_47	Unknown	10282805	179	97381	44.6388856843847	98.59154929577464	376.056338028169
Bin_48	Unknown	1803596	12	536494	37.60392603466961	90.14084507042253	22.535211267605632
Bin_49	Unknown	626450	10	107543	48.79691324668521	0.0	0.0
Bin_5	Unknown	13725134	84	1032775	44.074277492793115	100.0	211.26760563380282
Bin_50	Unknown	1360135	16	121416	52.25375983260548	25.35211267605634	8.450704225352112
Bin_51	Unknown	2582185	40	100022	26.914430405239916	70.4225352112676	49.29577464788732
Bin_52	Unknown	2354769	42	71270	30.089067838784583	38.028169014084504	25.35211267605634
Bin_53	Unknown	368425	5	98691	47.163315932098534	0.0	0.0
Bin_54	Unknown	2721835	36	94605	43.068610489381356	61.971830985915496	8.450704225352112
Bin_55	Unknown	78192	1	78192	40.241671061131505	0.0	0.0
Bin_56	Unknown	6610	2	3934	32.60650509186328	0.0	0.0
Bin_57	Unknown	16476	2	14103	34.02739175649477	0.0	0.0
Bin_58	Unknown	6003377	69	218796	47.37594759238753	95.77464788732394	49.29577464788732
Bin_59	Unknown	478496	9	133097	54.601818022920966	0.0	0.0
Bin_6	Unknown	23486	3	13982	53.50675496447963	0.0	0.0
Bin_60	Unknown	44548	4	35047	48.57293219115337	0.0	0.0
Bin_61	Unknown	89261	6	13160	39.22575442945546	0.0	0.0
Bin_62	Unknown	478186	4	99513	30.67575645338539	0.0	0.0
Bin_63	Unknown	16438	1	16438	46.611509916048185	0.0	0.0
Bin_64	Unknown	1168227	32	72375	44.78080163725608	36.61971830985915	8.450704225352112
Bin_65	Unknown	75066049	505	859044	51.81183000692487	100.0	2326.760563380282
Bin_66	Unknown	3419863	135	326612	55.689168052983696	91.54929577464789	23.943661971830984
Bin_67	Unknown	3998	1	3998	52.95147573786893	0.0	0.0
Bin_68	Unknown	748735	14	68984	45.44548772194613	22.535211267605632	8.450704225352112
Bin_69	Unknown	18691	3	12309	65.39658740114163	0.0	0.0
Bin_7	Unknown	14575480	153	1204564	36.13528954777141	100.0	271.83098591549293
Bin_70	Unknown	20322480	573	116941	45.795514235974345	100.0	366.19718309859155
Bin_71	Unknown	735004	6	134619	41.32330868977109	0.0	0.0
Bin_72	Unknown	67891136	1073	91500	45.80420281069264	100.0	1369.0140845070423
Bin_73	Unknown	2892827	9	715823	40.6273173527183	94.36619718309859	2.816901408450704
Bin_74	Unknown	40899	1	40899	49.82721875355524	0.0	0.0
Bin_75	Unknown	1188309	4	650344	50.120121656781826	0.0	0.0
Bin_76	Unknown	31092723	765	393126	44.09890358284835	100.0	654.9295774647887
Bin_77	Unknown	253606	2	250079	43.62804322051097	0.0	0.0
Bin_78	Unknown	1039	1	1039	60.82771896053898	0.0	0.0
Bin_79	Unknown	743818	9	183998	48.013219155889715	64.78873239436619	14.084507042253522
Bin_8	Unknown	4362207	71	105597	60.264126562705314	98.59154929577464	107.04225352112677
Bin_80	Unknown	4061503	28	209967	48.59690781600193	80.28169014084507	11.267605633802816
Bin_81	Unknown	5538707	105	1327921	35.22309625467778	100.0	91.54929577464789
Bin_82	Unknown	40768	6	26623	58.24342267793564	0.0	0.0
Bin_83	Unknown	300322	1	300322	60.025297359574516	0.0	0.0
Bin_84	Unknown	2244528	40	81050	56.202369335960945	66.19718309859155	7.042253521126761
Bin_85	Unknown	25490457	257	195904	28.62334725357124	97.1830985915493	1169.0140845070423
Bin_86	Unknown	119203042	3036	63783	58.57065699537394	100.0	2825.3521126760565
Bin_87	Unknown	24258213	719	67878	58.635811368372806	100.0	440.84507042253523
