bins	taxon	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy
Bin_2	Unknown	48598	5	13182	36.310983548299866	0.0	0.0
Bin_20	Unknown	2491	1	2491	46.84865515857086	0.0	0.0
Bin_21	Unknown	115333	6	26858	40.57139653978395	0.0	0.0
Bin_22	Unknown	36895	5	10574	46.557676603135896	0.0	0.0
Bin_23_1	Unknown	2019963	4	1012110	55.298002611663	74.64788732394366	2.816901408450704
Bin_23_2	Unknown	1657830	1	1657830	56.62728991836546	39.436619718309856	0.0
Bin_23_3	Unknown	3430577	13	925028	53.036268516523634	98.59154929577464	1.408450704225352
Bin_23_4	Unknown	1824698	8	434605	50.4493782190552	81.69014084507042	15.492957746478874
Bin_23_5	Unknown	2098484	13	238699	60.146469778066724	71.83098591549296	2.816901408450704
Bin_23_6	Unknown	1481323	25	109131	53.02362525360098	47.88732394366197	5.633802816901408
Bin_24	Unknown	770629	122	10538	29.77259784243888	0.0	0.0
Bin_25	Unknown	313086	7	64153	60.460402386126056	0.0	0.0
Bin_26	Unknown	59225	8	13153	41.521638771049695	0.0	0.0
Bin_27	Unknown	385896	190	2005	44.67004390495106	0.0	0.0
Bin_28	Unknown	1142181	33	43481	56.07980302296011	45.070422535211264	8.450704225352112
Bin_29_2	Unknown	1442949	3	736871	42.6489209639293	81.69014084507042	11.267605633802816
Bin_3	Unknown	3544871	38	576568	52.90990456667951	85.91549295774648	16.901408450704224
Bin_30	Unknown	12191	1	12191	45.96013452546961	0.0	0.0
Bin_32_1	Unknown	3672022	6	1899687	47.18667166889251	88.73239436619718	21.12676056338028
Bin_32_10	Unknown	1834047	25	102901	50.29718653282398	35.2112676056338	9.859154929577464
Bin_32_11	Unknown	3064055	14	445345	52.47672255653204	97.1830985915493	8.450704225352112
Bin_32_12	Unknown	2836583	5	870404	51.4583961054359	97.1830985915493	14.084507042253522
Bin_32_13	Unknown	3410950	8	561060	53.02176223892501	83.09859154929578	18.309859154929576
Bin_32_14	Unknown	2077940	27	99815	47.919229111446754	60.563380281690144	2.816901408450704
Bin_32_15	Unknown	2917203	6	1909714	53.6977746179373	95.77464788732394	7.042253521126761
Bin_32_16	Unknown	1318117	8	267576	49.361346633401816	18.309859154929576	1.408450704225352
Bin_32_17	Unknown	2918345	14	346659	49.54786291235094	94.36619718309859	19.718309859154928
Bin_32_18	Unknown	1784629	9	291013	49.09765101025783	50.70422535211268	1.408450704225352
Bin_32_19	Unknown	2333997	18	367288	55.251092062938554	85.91549295774648	1.408450704225352
Bin_32_2	Unknown	2162501	29	92222	57.06508898665664	30.985915492957748	7.042253521126761
Bin_32_20	Unknown	3156356	10	407187	50.22941439214744	98.59154929577464	5.633802816901408
Bin_32_24	Unknown	2653293	6	571341	52.983474891558494	85.91549295774648	2.816901408450704
Bin_32_25	Unknown	4045286	17	1115478	51.157306356585316	100.0	11.267605633802816
Bin_32_26	Unknown	2724074	25	175060	51.40776368560183	84.50704225352112	7.042253521126761
Bin_32_27	Unknown	3236752	12	804042	51.55744886772349	87.32394366197182	16.901408450704224
Bin_32_28	Unknown	3172180	11	677410	50.94425905452519	91.54929577464789	8.450704225352112
Bin_32_29	Unknown	2856748	7	750138	48.543212748793415	83.09859154929578	12.67605633802817
Bin_32_3	Unknown	1938047	16	443882	50.77069398874663	67.6056338028169	9.859154929577464
Bin_32_30	Unknown	3310995	10	442935	54.919579756489426	97.1830985915493	12.67605633802817
Bin_32_31	Unknown	3303235	11	336793	55.87686367479162	97.1830985915493	1.408450704225352
Bin_32_32	Unknown	2938390	5	1472723	50.5123893413733	100.0	1.408450704225352
Bin_32_33	Unknown	2956748	14	466324	44.41630749895606	98.59154929577464	4.225352112676056
Bin_32_34	Unknown	2385324	21	214682	49.25508570269643	54.929577464788736	11.267605633802816
Bin_32_35	Unknown	2582885	9	434219	57.47589742592911	73.2394366197183	11.267605633802816
